AARAMBH - 2025 - THE ORIENTATION PROGRAMME,,,,,,,,,,,,,,,,,,,,,,
25th July - 1st August 2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Date,6:30am - 7:30am,7:30am - 8:50am,9:30am - 10:45am,11:00am - 12:30pm ,,,,12:30pm - 1:00pm,1:00pm - 2:30pm,2:30pm - 5:00PM,,,,5:00 pm - 6:00 pm,6:00 pm - 8:00pm,,8:00 pm - 9:30pm,9:30pm - 11:00pm,11:00pm-11:30pm,,,
"Friday
july 25th 2025",,,,,,,,,,,,,,,,,,,,,,
,,BREAKFAST,Registrations                                                               Venue:Respectives Institutes                                                    ,Inaugural Ceremony Venue : IM Amphi                                                                                                   WebCast in IET Amphi,,,,Aarambh Schedule  Aarambh rules and regulations BY  Mr. Deepak Sogani                                                      venue: IM Amphi Webcast in IET ,LUNCH,"Ice Breaking Session by Manish Freeman and Chetan Kanoongo
Venue: 006 & 001 Design Studio (Tech Block)",,,,SNACKS,JKLU Explorer Challenge                         by Manish Freeman and Chetan Kanoongo,,DINNER,"Kingdom Game Night & Circle time by Manish Freeman and Chetan Kanoongo
",Introduction Of Team Aarambh Venue : IM Amphi,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Saturday
July 26th 2025",6:30am - 7:30am,7:30am - 8:50am,9:30am - 10:30am,10:30am-1:00pm,,,,,1:00pm - 2:30pm,2:30pm - 5:30pm,,,,5:30 pm - 6:30 pm,6:30 pm - 9:00pm,,9:00 pm - 10:30pm,10:30pm - 11:30pm,,,,
,Sports Activities,BREAKFAST, Introduction of UnConference                                                       by Manish Freeman and Chetan Kanoongo                                                                        Venue: Sabrang Ground                                                                                                               Note:-- In this session all faculty/staff and kids from near by community will also be invited.  ,"
 Youth UnConference                                                                                                                                                                                                 By Manish Freeman and Chetan Kanoongo                                                                                                                                                 Venue: Sabrang Ground                                                                                                                                                                                    Note:-- In this session all faculty/staff and kids from near by community will also be invited. ",,,,,LUNCH,Stragetic Thinking Workshop By Student Coordinators                                                 Venue : IET Amphi & IM Amphi,,,,SNACKS,Express Yourself             Venue : LRC Stairs ,,DINNER,DanceVerse By Steppers Squad                                           Venue : IM Amphi,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sunday
27th July
2025",6:30am - 7:30am,7:30am - 8:50am,9:30am - 10:00 am,10:00am - 10:30 am,10:30am - 11:00am,,11:00am -1:30pm,,1:30 pm-3:00 pm,3:00pm - 5:30pm,,,,5:30 pm - 6:30 pm,6:30 pm - 9:00pm,,9:00 pm - 10:30pm,10:30pm - 11:30pm,,,,
,Sports Activities,BREAKFAST,Hostel / Anti Ragging Session Venue : IM Amphi                 Student Affairs Session        Venue : IET Amphi              ,Hostel / Anti Ragging Session Venue : IET Amphi                  Student Affairs Session        Venue : IM Amphi              ,IT/LRC/Accounts    Venue: IM Amphii                                                     Webcast                Venue : IET Amphii,,Anjali Suneja Session  Venue:IM Amphi       ,Mind Hacks: The Hidden Psychology Behind Every Decision Workshop by Manan Pahwa                      Venue: IET Amphi,LUNCH,Anjali Suneja Session                Venue:IET Amphi       ,,Mind Hacks: The Hidden Psychology Behind Every Decision  Workshop by Manan Pahwa                      Venue: IM Amphi,,SNACKS,Armaan & Band             Venue : LRC Stairs,,DINNER,Dumb Drama By Student Coordinator                 Venue : IM Amphi,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Monday
28th July
2025",6:30am - 7:30am,7:30am - 8:50am,9:30am - 10:15 am,10:15am - 10:30 am,10:30am - 10:45am,10:45am - 11:00am,11:00am - 1:30pm,,1:30pm - 3:00pm,3:00pm - 5:30pm,,,,5:30 pm - 6:30 pm,6:30 pm - 9:00pm,,9:00 pm - 10:30pm,10:30pm - 11:30pm,,,,
,Sports Activities,BREAKFAST,Examination Cell Session Venue : IET Amphi                     Webcast Venue : IM Amphi,Administration Session Venue : IM Amphi Webcast               Venue : IET Amphi,Placement Cell Session Venue : IM Amphi Webcast               Venue : IET Amphi,Wellness Session          Venue : IM Amphii                       Webcast                       Venue : IET Amphi,Anjali Suneja Session                                                                        Venue:IET Amphi,"Pottery Session by Kunal Agarwal                                       
Venue: 006 & 001 Design Studio (Tech Block)",LUNCH,Anjali Suneja Session                                                                        Venue:IET Amphi,,"Pottery Session by Kunal Agarwal                                       
Venue: 006 & 001 Design Studio (Tech Block)",,SNACKS,Brush & Bond                                        By Student Coordinators             Venue : Tech Lawn,,DINNER,Brief about Outing                                           Venue :  IM Amphi,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tuesday 29th July (Outing Day),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
